firstquestion_original,firstquestion_conditional,firstquestion_extinction,testquestionfirst_conditional,testquestionfirst_extinction,testquestionsecond_conditional,testquestionsecond_extinction
1,0,0,0,1,0,1
1,0,0,0,0,0,0
1,1,0,0,0,0,0
0,0,0,0,1,0,1
1,1,1,0,1,0,1
0,1,0,1,1,1,1
1,0,0,0,1,0,1
1,0,0,0,0,0,0
1,0,0,0,1,0,1
1,1,0,1,1,1,1
1,0,0,0,1,0,1
1,1,0,0,0,0,0
1,0,0,0,1,0,1
1,0,0,0,1,0,1
1,0,0,0,1,0,1
0,0,0,0,1,0,1
1,0,0,0,1,0,1
1,0,1,1,1,1,1
1,0,0,0,0,0,0
1,0,0,0,1,0,1
1,0,0,0,1,0,1
1,0,0,1,1,1,1
1,0,0,0,0,0,0
1,0,0,0,0,0,0
0,0,0,1,1,1,1
0,0,0,,1,,1
1,0,1,,,,
1,0,0,,,,
1,0,1,,,,
1,0,0,,,,
